#                                                                                
# Lorentzian broadening with gamma= 0.050000  [eV]
# Im(epsilon) shifted by   1.0000   [eV]
# No intraband contributions added
#
# Energy [eV]  ref_ind_xx    extinct_xx
#
   0.013610  0.206681E+01  0.214622E-02
   0.040820  0.206682E+01  0.216093E-02
   0.068030  0.206686E+01  0.217580E-02
   0.095240  0.206690E+01  0.219082E-02
   0.122450  0.206697E+01  0.220602E-02
   0.149660  0.206705E+01  0.222137E-02
   0.176870  0.206714E+01  0.223690E-02
   0.204090  0.206725E+01  0.225261E-02
   0.231300  0.206738E+01  0.226850E-02
   0.258510  0.206752E+01  0.228456E-02
   0.285720  0.206768E+01  0.230080E-02
   0.312930  0.206786E+01  0.231723E-02
   0.340140  0.206805E+01  0.233385E-02
   0.367350  0.206825E+01  0.235067E-02
   0.394570  0.206848E+01  0.236769E-02
   0.421780  0.206872E+01  0.238491E-02
   0.448990  0.206897E+01  0.240233E-02
   0.476200  0.206924E+01  0.241996E-02
   0.503410  0.206953E+01  0.243781E-02
   0.530620  0.206984E+01  0.245587E-02
   0.557830  0.207016E+01  0.247416E-02
   0.585040  0.207049E+01  0.249268E-02
   0.612260  0.207085E+01  0.251143E-02
   0.639470  0.207122E+01  0.253042E-02
   0.666680  0.207160E+01  0.254965E-02
   0.693890  0.207201E+01  0.256912E-02
   0.721100  0.207243E+01  0.258885E-02
   0.748310  0.207287E+01  0.260884E-02
   0.775520  0.207332E+01  0.262909E-02
   0.802740  0.207379E+01  0.264961E-02
   0.829950  0.207428E+01  0.267041E-02
   0.857160  0.207479E+01  0.269148E-02
   0.884370  0.207531E+01  0.271285E-02
   0.911580  0.207585E+01  0.273451E-02
   0.938790  0.207641E+01  0.275647E-02
   0.966000  0.207699E+01  0.277874E-02
   0.993220  0.207758E+01  0.280134E-02
   1.020430  0.207819E+01  0.282425E-02
   1.047640  0.207882E+01  0.284749E-02
   1.074850  0.207947E+01  0.287108E-02
   1.102060  0.208014E+01  0.289501E-02
   1.129270  0.208083E+01  0.291929E-02
   1.156480  0.208153E+01  0.294394E-02
   1.183700  0.208225E+01  0.296898E-02
   1.210910  0.208300E+01  0.299439E-02
   1.238120  0.208376E+01  0.302020E-02
   1.265330  0.208454E+01  0.304641E-02
   1.292540  0.208534E+01  0.307304E-02
   1.319750  0.208616E+01  0.310009E-02
   1.346960  0.208700E+01  0.312759E-02
   1.374180  0.208786E+01  0.315554E-02
   1.401390  0.208874E+01  0.318395E-02
   1.428600  0.208964E+01  0.321284E-02
   1.455810  0.209056E+01  0.324221E-02
   1.483020  0.209150E+01  0.327209E-02
   1.510230  0.209247E+01  0.330249E-02
   1.537440  0.209345E+01  0.333342E-02
   1.564660  0.209446E+01  0.336492E-02
   1.591870  0.209549E+01  0.339698E-02
   1.619080  0.209654E+01  0.342961E-02
   1.646290  0.209761E+01  0.346286E-02
   1.673500  0.209871E+01  0.349672E-02
   1.700710  0.209983E+01  0.353123E-02
   1.727920  0.210098E+01  0.356641E-02
   1.755130  0.210214E+01  0.360227E-02
   1.782350  0.210334E+01  0.363886E-02
   1.809560  0.210455E+01  0.367616E-02
   1.836770  0.210579E+01  0.371423E-02
   1.863980  0.210706E+01  0.375309E-02
   1.891190  0.210835E+01  0.379276E-02
   1.918400  0.210967E+01  0.383327E-02
   1.945610  0.211102E+01  0.387466E-02
   1.972830  0.211239E+01  0.391698E-02
   2.000040  0.211379E+01  0.396023E-02
   2.027250  0.211522E+01  0.400445E-02
   2.054460  0.211668E+01  0.404970E-02
   2.081670  0.211816E+01  0.409602E-02
   2.108880  0.211968E+01  0.414343E-02
   2.136090  0.212122E+01  0.419200E-02
   2.163310  0.212280E+01  0.424179E-02
   2.190520  0.212441E+01  0.429282E-02
   2.217730  0.212605E+01  0.434516E-02
   2.244940  0.212772E+01  0.439886E-02
   2.272150  0.212943E+01  0.445400E-02
   2.299360  0.213117E+01  0.451064E-02
   2.326570  0.213294E+01  0.456885E-02
   2.353790  0.213476E+01  0.462873E-02
   2.381000  0.213661E+01  0.469032E-02
   2.408210  0.213849E+01  0.475373E-02
   2.435420  0.214042E+01  0.481906E-02
   2.462630  0.214238E+01  0.488641E-02
   2.489840  0.214439E+01  0.495589E-02
