#                                                                                
# Lorentzian broadening with gamma= 0.050000  [eV]
# Im(epsilon) shifted by   1.0000   [eV]
# No intraband contributions added
#
# Energy [eV]  ref_ind_xx    extinct_xx
#
   0.013610  0.234231E+01  0.484700E-02
   0.040820  0.234239E+01  0.492719E-02
   0.068030  0.234256E+01  0.500984E-02
   0.095240  0.234282E+01  0.509508E-02
   0.122450  0.234316E+01  0.518304E-02
   0.149660  0.234358E+01  0.527388E-02
   0.176870  0.234409E+01  0.536773E-02
   0.204090  0.234469E+01  0.546482E-02
   0.231300  0.234538E+01  0.556525E-02
   0.258510  0.234616E+01  0.566925E-02
   0.285720  0.234702E+01  0.577703E-02
   0.312930  0.234798E+01  0.588881E-02
   0.340140  0.234903E+01  0.600485E-02
   0.367350  0.235018E+01  0.612541E-02
   0.394570  0.235142E+01  0.625082E-02
   0.421780  0.235276E+01  0.638132E-02
   0.448990  0.235421E+01  0.651728E-02
   0.476200  0.235575E+01  0.665910E-02
   0.503410  0.235740E+01  0.680717E-02
   0.530620  0.235916E+01  0.696196E-02
   0.557830  0.236104E+01  0.712396E-02
   0.585040  0.236302E+01  0.729372E-02
   0.612260  0.236513E+01  0.747192E-02
   0.639470  0.236736E+01  0.765911E-02
   0.666680  0.236972E+01  0.785610E-02
   0.693890  0.237221E+01  0.806372E-02
   0.721100  0.237484E+01  0.828293E-02
   0.748310  0.237762E+01  0.851479E-02
   0.775520  0.238055E+01  0.876047E-02
   0.802740  0.238364E+01  0.902144E-02
   0.829950  0.238689E+01  0.929905E-02
   0.857160  0.239032E+01  0.959514E-02
   0.884370  0.239394E+01  0.991174E-02
   0.911580  0.239776E+01  0.102512E-01
   0.938790  0.240178E+01  0.106162E-01
   0.966000  0.240603E+01  0.110099E-01
   0.993220  0.241052E+01  0.114363E-01
   1.020430  0.241527E+01  0.118994E-01
   1.047640  0.242030E+01  0.124047E-01
   1.074850  0.242563E+01  0.129586E-01
   1.102060  0.243129E+01  0.135689E-01
   1.129270  0.243732E+01  0.142453E-01
   1.156480  0.244374E+01  0.149998E-01
   1.183700  0.245061E+01  0.158480E-01
   1.210910  0.245797E+01  0.168092E-01
   1.238120  0.246589E+01  0.179095E-01
   1.265330  0.247445E+01  0.191840E-01
   1.292540  0.248374E+01  0.206814E-01
   1.319750  0.249389E+01  0.224713E-01
   1.346960  0.250505E+01  0.246575E-01
   1.374180  0.251743E+01  0.274042E-01
   1.401390  0.253127E+01  0.309815E-01
   1.428600  0.254688E+01  0.358736E-01
   1.455810  0.256449E+01  0.429604E-01
   1.483020  0.258374E+01  0.536006E-01
   1.510230  0.260319E+01  0.689509E-01
   1.537440  0.262088E+01  0.889887E-01
   1.564660  0.263537E+01  0.112764E+00
   1.591870  0.264593E+01  0.139034E+00
   1.619080  0.265232E+01  0.166664E+00
   1.646290  0.265460E+01  0.194693E+00
   1.673500  0.265298E+01  0.222331E+00
   1.700710  0.264769E+01  0.248889E+00
   1.727920  0.263904E+01  0.273684E+00
   1.755130  0.262751E+01  0.295977E+00
   1.782350  0.261397E+01  0.315177E+00
   1.809560  0.259944E+01  0.331118E+00
   1.836770  0.258485E+01  0.344056E+00
   1.863980  0.257082E+01  0.354518E+00
   1.891190  0.255764E+01  0.363087E+00
   1.918400  0.254540E+01  0.370197E+00
   1.945610  0.253412E+01  0.376153E+00
   1.972830  0.252384E+01  0.381226E+00
   2.000040  0.251461E+01  0.385698E+00
   2.027250  0.250641E+01  0.389931E+00
   2.054460  0.249903E+01  0.394290E+00
   2.081670  0.249211E+01  0.398973E+00
   2.108880  0.248528E+01  0.403979E+00
   2.136090  0.247824E+01  0.409155E+00
   2.163310  0.247077E+01  0.414205E+00
   2.190520  0.246292E+01  0.418707E+00
   2.217730  0.245505E+01  0.422437E+00
   2.244940  0.244747E+01  0.425503E+00
   2.272150  0.244029E+01  0.428076E+00
   2.299360  0.243355E+01  0.430277E+00
   2.326570  0.242728E+01  0.432203E+00
   2.353790  0.242152E+01  0.433978E+00
   2.381000  0.241626E+01  0.435772E+00
   2.408210  0.241138E+01  0.437788E+00
   2.435420  0.240659E+01  0.440078E+00
   2.462630  0.240170E+01  0.442470E+00
   2.489840  0.239672E+01  0.444783E+00
   2.517050  0.239170E+01  0.446925E+00
